imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0035423,0.0,/hfeiSfWYujh6MKhtGTXyK3DD4nN.jpg,,48000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",,11232.0,en,Kate & Leopold,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",13.945,/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg,"[{'id': 85, 'logo_path': None, 'name': 'Konrad Pictures', 'origin_country': ''}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-12-25,76019048.0,118.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"If they lived in the same century, they'd be perfect for each other.",Kate & Leopold,0.0,6.3,1177.0,PG-13
tt0079644,0.0,/79axmuH1UGkB7m72jjB9rPff9om.jpg,,0.0,"[{'id': 10752, 'name': 'War'}]",,285529.0,id,November 1828,"A group of Javanese villagers are driven to revolt against the Dutch colonialists in this historical drama, which revolves around the themes of loyalty and treachery.",0.6000000000000001,/eHBtiJQZg2oUFAx1uFewpmNy4Pu.jpg,"[{'id': 119976, 'logo_path': None, 'name': 'PT Interstudio', 'origin_country': ''}, {'id': 119977, 'logo_path': None, 'name': 'PT Gemini Satria Film', 'origin_country': ''}, {'id': 55197, 'logo_path': None, 'name': 'P.T. Garuda Film', 'origin_country': ''}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",1979-01-02,0.0,140.0,"[{'english_name': 'Indonesian', 'iso_639_1': 'id', 'name': 'Bahasa indonesia'}]",Released,,November 1828,0.0,0.0,0.0,
tt0114447,0.0,,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",,151007.0,en,The Silent Force,An elite Federal force whose objective is to eliminate organized crime is violently assassinated by an evil Asian crime lord. The sole survivor of the group teams up with his late partner's widow to strike back at the crime lord and his son.,0.681,/u0njmfXD3dXxQfeykBHBuFQOYqD.jpg,[],[],2001-01-01,0.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They left him for dead... They should have finished the job,The Silent Force,0.0,5.0,3.0,
tt0114722,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,276251.0,es,3 Noches,"When the corpse of mobster Miguel ""el chino"" Sanabria surfaces, everyone thinks his death is the result of an argument during the heat of the moment. That is, everyone except Officer Ferran (Victor Mayo), who believes something more menacing was at fault. Along with Picasso (Juanko Vellido), the last person to see Sanabria alive, Ferran sets out to find the truth behind the murder -- and learns something about his own destiny in the process.",0.6000000000000001,/avCdrrD6riyAlr73blQTSqbUWFU.jpg,"[{'id': 61005, 'logo_path': None, 'name': 'Centro Nacional Autónomo de Cinematografía (CNAC)', 'origin_country': ''}, {'id': 52225, 'logo_path': None, 'name': 'Casablanca Producciones S.A.', 'origin_country': 'MX'}]","[{'iso_3166_1': 'VE', 'name': 'Venezuela'}]",2001-09-26,0.0,105.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,3 Nights,0.0,0.0,0.0,
tt0118578,0.0,/gZn2R8T81zuHuJa0IPosZOpywdh.jpg,,0.0,[],,232795.0,hi,Albela,"Boy is loved by a girl, but he doesn't know. Boy becomes smitten with another girl, but she loves another.",1.418,/jyi9CCy3AgBssjbg0hGXVSRaVSA.jpg,[],[],2001-04-19,0.0,156.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Albela,0.0,3.8,5.0,
tt0118589,0.0,/9NZAirJahVilTiDNCHLFcdkwkiy.jpg,,22000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,10696.0,en,Glitter,"A young woman is catapulted into pop stardom, with her already-famous DJ boyfriend calling the shots.",7.754,/388ru0R7fnBFPaVuJe4caRGGh54.jpg,"[{'id': 89627, 'logo_path': None, 'name': 'Glitter Productions', 'origin_country': ''}, {'id': 89628, 'logo_path': None, 'name': 'Maroon Entertainment', 'origin_country': ''}, {'id': 415, 'logo_path': None, 'name': 'Laurence Mark Productions', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-09-21,5271666.0,104.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In music she found her dream, her love, herself.",Glitter,0.0,4.6,122.0,PG-13
tt0118652,0.0,/mWxJEFRMvkG4UItYJkRDMgWQ08Y.jpg,,1000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,17140.0,en,The Attic Expeditions,"Trevor Blackburn is accused of murdering his girlfriend, Faith, in a brutal ritual. He's sentenced to live in an experimental rehabilitation community and falls into a coma. When he wakes up, he meets the mysterious Dr. Ek, who tortures Trevor in an attempt to learn the whereabouts of a powerful occult book. As other patients start to disappear, Trevor begins to wonder who and where he really is.",4.001,/b0p8CjMLWc7B1nnIfFQ2uY3HLe0.jpg,"[{'id': 3260, 'logo_path': None, 'name': 'Tse Tse Fly Productions', 'origin_country': ''}, {'id': 86531, 'logo_path': None, 'name': 'Two Left Shoes Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-30,0.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,His search for peace of mind... will leave his mind in pieces.,The Attic Expeditions,0.0,5.1,29.0,R
tt0119004,0.0,/7xrlSPGDO4CDT6IHTctDlkYxTzw.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,37857.0,en,Don's Plum,A group of Los Angeles teenagers meets daily at their local diner hangout to discuss their latest misadventures and miserable lives.,7.129,/6XGIqk8DDFtjyHI1YSKNU1e4y0y.jpg,"[{'id': 185017, 'logo_path': None, 'name': 'Polo Pictures Entertainment', 'origin_country': ''}, {'id': 53667, 'logo_path': None, 'name': 'Trust Film Svenska', 'origin_country': ''}, {'id': 76, 'logo_path': '/nebkQYtQKhZyHJfh5v0oGpNbPzu.png', 'name': 'Zentropa Entertainments', 'origin_country': 'DK'}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-02-10,6297.0,89.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Don's Plum,0.0,5.4,66.0,
tt0120166,0.0,/havCE85OV7FUMWzqAZ9x31XRRCA.jpg,,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,50944.0,en,The Sorcerer's Apprentice,"Every hundred years, the evil sorceress Morgana returns to claim Fingall's talisman from Merlin, with which she intends to destroy the world. For the last fourteen hundred years she has failed... now she intends to conquer all. Young Ben Clark moves with his parents to a new town, where he befriends his elderly magician neighbor, Milner. Ben has a natural talent for magic and wants to learn all that he can from this old man. Ben carries the same scar as the original staff-bearer 1,400 years before. Both Morgana and Milner, who is revealed to be Merlin, see this as a sign that this time, the battle between good and evil will be stronger and harder than ever. Ben must make his own choice between good and evil as he is drawn into a battle and must draw on his own spirit and magic to decide which path to follow and hence, the fate of the world as we know it.",2.645,/x1ZDLPgXlPvULLTlskjesrOZ9nP.jpg,"[{'id': 26857, 'logo_path': None, 'name': 'Peakviewing Productions', 'origin_country': ''}, {'id': 85989, 'logo_path': None, 'name': 'Peakviewing Transatlantic Plc', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-04-12,0.0,86.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Sorcerer's Apprentice,0.0,4.8,10.0,NR
